id,d,institution
21861,28,Johns Hopkins Univ
4169,162,Univ Roma La Sapienza
172187,3,Natl Inst Med Res
78945,1,Columbia Univ
280470,5,Hop Jolimont
6183,96,Univ Canterbury
56194,13,Karolinska Univ Hosp
39459,72,Ist Nazl Fis Nucl
58023,28,INAF OAC
6181,188,Univ Belgrade
125556,2,Univ Hosp
5522,170,Univ Virginia
255879,9,CNRS
208394,3,Univ Vita Salute San Raffaele
283849,9,CHU Nancy
119069,18,Univ Florida
39457,68,Ist Nazl Fis Nucl
6181,29,Univ Haute Alsace Mulhouse
6177,177,Inst Natl Phys Nucl & Phys Particules
116936,30,Ernest Orlando Lawrence Berkeley Natl Lab
6180,80,INFN Sez Trieste
276367,16,Childrens Hosp Westmead
255406,1,Univ Vienna
6168,56,Univ Bologna
255879,1,Nansen Environm & Remote Sensing Ctr
7502,3,INSERM
39457,21,Lappeenranta Univ Technol
2060,29,Univ Bologna
275571,0,Univ Simon Bolivar
5527,101,Univ Paris 07
5527,132,Budker Inst Nucl Phys
39457,83,Sungkyunkwan Univ
196269,1,Univ Zaragoza
197926,0,LCPC
24225,9,Brandeis Univ
8063,11,Bogazici Univ
78942,5,Univ Calif Los Angeles
110936,4,Byelarussian State Univ
213779,7,CHRU
6167,163,Purdue Univ
27699,1,Univ Erlangen Nurnberg
5522,150,MIT
5533,21,Humboldt Univ
160000,1,IFREMER
5526,90,Kyoto Univ
48998,65,HSIC
39457,27,Univ Lyon 1
24225,38,UCL
6179,149,Univ Maryland
287397,0,Univ La Reunion
110936,42,Univ Strasbourg 1
315998,3,INSERM
77639,2,Univ Paris 05
5526,17,Vinca Inst Nucl Sci
6173,130,Univ Calif Los Angeles
243306,1,Huzhou Tearchers Coll
6178,187,Univ Belgrade
5532,47,Bhabha Atom Res Ctr
39459,15,Peking Univ
6183,38,Univ Karlsruhe
159417,6,Hosp Santa Creu & Sant Pau
251377,1,Enst Paris
121966,41,Michigan State Univ
110936,76,Univ Pavia
8769,166,Rockefeller Univ
316790,0,Univ Montpellier 1
53126,13,Univ Birmingham
53126,90,Inst Astron
5522,66,Ist Nazl Fis Nucl
20152,1,SUNY Albany
38841,80,Univ Lyon 1
121966,56,Univ Rochester
6182,168,Univ Tennessee
310458,0,Univ Nice Sophia Antipolis
6168,158,Univ Notre Dame
203179,15,Michigan State Univ
6167,7,Univ Libre Bruxelles
173538,8,Univ Warwick
116711,12,H Niewodniczanski Inst Nucl Phys
281805,1,Univ Laval
6171,41,Univ Ioannina
6180,95,Univ Canterbury
65529,18,Chinese Acad Sci
178933,103,Fachhsch Worms Zentrum Technol Transfer
20152,137,Univ Oregon
6175,130,Univ Calif Los Angeles
224058,1,Fukui Univ Technol
30175,28,Johns Hopkins Univ
116938,53,Univ Pittsburgh
116937,30,KEK
6181,40,Univ Athens
3001,53,Univ Padua
5527,225,Univ Montreal
6178,186,Warsaw Univ Technol
63908,45,CAMK PAM
278316,8,DAPNIA
6184,108,Vinca Inst Nucl Sci
14137,2,Univ Lyon
29273,19,Joint Inst Nucl Res
5522,5,Univ Libre Bruxelles
178936,12,Univ Bologna
6175,115,Swiss Fed Inst Technol
6176,92,IPN
34753,8,Univ Utrecht
6183,25,Lappeenranta Univ Technol
5525,17,Univ Calif Berkeley
249350,0,Univ Montreal
173596,33,Sci & Technol Facil Council
57838,1,Univ Paris Diderot
6169,186,Izmir Inst Technol
6167,19,Tech Univ Split
269742,0,Univ Quebec
2081,188,Univ Geneva
2060,138,Univ Oregon
63908,107,Univ Manchester
286267,75,Natl Res Council Canada
86334,1,Univ Ghent VIB
38841,46,Univ Warsaw
127377,37,Iowa State Univ
268592,37,AIDS Support Org TASO
151429,0,Univ Paris 06
13713,58,Ist Nazl Fis Nucl
61989,2,HEGP
23794,3,European Synchrotron Radiat Facil
5524,67,Univ Gottingen
8063,108,Univ Tsukuba
5522,152,Univ Mississippi
6171,75,Scuola Normale Super Pisa
110936,21,Rudjer Boskovic Inst
5532,21,Acad Sci Res & Technol Arab Republ Egypt
266189,4,Tokyo Inst Technol
116938,61,Univ Udine
6167,100,Soltan Inst Nucl Studies
178932,95,Moscow MV Lomonosov State Univ
98262,2,European Synchrotron Radiat Facil
6178,152,Univ Minnesota
159679,1,CHU Cochin
5524,54,Tech Univ Dresden
5526,134,Ohio State Univ
5522,30,Ctr Calcul
275136,11,St Luc Univ
6167,57,Univ Catania
5526,71,Univ Giessen
29273,21,Fermilab Natl Accelerator Lab
39459,24,Helsinki Inst Phys
26871,29,CNRS
6184,21,Rudjer Boskovic Inst
