id,type_keyword,keyword
284205,IK,KOPS
244093,IK,DAMAGE
172333,IK,MODELS
270781,AK,Renal cell carcinoma
282023,IK,DISEASE-SPECIFIC SURVIVAL
282348,AK,MAS
292231,IK,INTERVENTION
294412,IK,RADICAL PROSTATECTOMY
5154,IK,INTRACELLULAR CALCIUM
164832,IK,INTERMEMBRANE SPACE PROTEINS
281805,IK,TRANSPARENT MEDIA
81659,AK,supraclavicular nerves
104906,IK,CHRONIC KIDNEY-DISEASE
125938,AK,antenna array
135188,IK,DIELECTRIC PARTICLES
243306,IK,DYNAMICS
237771,AK,lipoperoxidation
12441,IK,THERMOHALINE CIRCULATION
294023,IK,THERAPY
223729,AK,RFID
159948,IK,NG./ML. RANGE
78965,AK,"galaxies : elliptical and lenticular, cD"
166900,IK,SUNITINIB
7425,IK,ASTEROSEISMOLOGY
55751,AK,cycloaddition
275732,IK,CATALYTIC-ACTIVITY
110000,IK,VALIDATION
28302,IK,LASER-PULSES
165419,IK,PAIRED DOMAIN
275781,IK,TRIM5-ALPHA
201084,IK,FILMS
238232,IK,ACUTE MYELOID-LEUKEMIA
5437,IK,P-I
62916,IK,HIV/AIDS
62416,IK,ADDITION-CYCLIZATION REACTIONS
275660,AK,Hepatocyte
246823,AK,Immunocompetent patient
302254,AK,contacts
121133,AK,complex data
2060,IK,SQUARE-ROOT-S
211474,AK,clinical trial
90110,IK,VERTEBRAL FRACTURES
43056,IK,FTIR
240928,IK,MICE LACKING
78558,IK,UNSTABLE INTERTROCHANTERIC FRACTURES
266036,IK,FATTY-ACIDS
243038,IK,CARDIAC-SURGERY
172187,IK,C-TERMINAL FRAGMENT
26672,IK,SIZE
283064,IK,POSITIVE-PRESSURE VENTILATION
10351,AK,Phytoliths
174544,IK,HADRON-COLLISIONS
19650,AK,space vehicles: instruments
300083,IK,IMPROVEMENTS
295326,IK,NESTIN
16504,AK,Immunohistochemistry
213271,IK,PROTONS
218148,AK,innate immunity
78943,IK,DIGITAL SKY SURVEY
275732,IK,ZSM-5
64735,IK,SI3N4
266814,IK,DWARF SPHEROIDAL GALAXY
201031,IK,MULTIPLE SEQUENCE ALIGNMENT
68774,AK,electronic structure
155174,AK,surveys
131246,IK,RESIDUE CROSS-SECTIONS
47187,IK,COHORT
105751,IK,RECEPTORS
248706,AK,compensated algorithm
286553,IK,WAXY MAIZE STARCH
87373,IK,SE SPAIN
308020,IK,CHEMISTRY
293576,IK,INTERACTION SITE MODEL
198945,IK,OUTCOMES
312520,AK,WSN deployment
104906,IK,PLACEBO-CONTROLLED TRIAL
271861,IK,CONSOLIDATION
234345,AK,SDR
79684,AK,fiber tracking
561,IK,H-ALPHA-EMISSION
199902,IK,CANCER
96424,IK,DARK-MATTER
106719,IK,UBIQUITIN LIGASES
160087,IK,SDSS
78959,IK,HALO OCCUPATION DISTRIBUTION
286267,IK,KINETICS
281521,AK,timing flexibility
263227,IK,OUTBURST
103867,AK,chemotaxis
268592,IK,ACTIVE ANTIRETROVIRAL THERAPY
14043,IK,BONE-MARROW-TRANSPLANTATION
240038,IK,IRON-OXIDE
57160,IK,NEPHRECTOMY
273783,AK,EELS
85183,IK,POLYELECTROLYTE MULTILAYER FILMS
166559,AK,Gulf of Lions
88887,IK,RANDOMIZED-TRIAL
116615,AK,hydrodynamics
63528,AK,excess bandwidth
140838,IK,DIMETHYLHYDRAZINE
212290,IK,HAMILTONIANS
72814,IK,FIBROBLAST-GROWTH-FACTOR
56133,IK,RAY CIRCULAR-DICHROISM
259752,IK,CHEMICAL-SYNTHESIS
118393,IK,CDF
31852,IK,SYSTEMS
300083,IK,LINEAR SCAN
66463,AK,Sun: flares
129553,IK,HISTONE DEACETYLASE INHIBITORS
133868,AK,FTIR
71189,IK,SOFT-TISSUE INFECTIONS
297903,AK,DLC coatings
121893,IK,SILICON
58907,IK,INHIBITOR
199005,IK,POINT SOURCES
209318,AK,nano-selective area growth
69300,IK,SERUM
204450,IK,DIAGNOSTICS
188725,IK,AQUATIC ORGANISMS
308993,AK,NoC
266189,IK,MAGNETIC-FIELD SENSOR
201031,IK,DNA-POLYMERASE
38000,IK,PROBABILITY
201084,IK,GAS
56994,IK,RNA
282943,IK,GRAVITATIONAL REACCUMULATION
184756,IK,EXPERIMENTAL AUTOIMMUNE ENCEPHALOMYELITIS
243755,IK,P-GLYCOPROTEIN
78944,IK,ACTIVE GALACTIC NUCLEI
146033,AK,VTE
10351,IK,MARGIN
10351,IK,BASIN
19940,IK,TRENDS
205685,IK,PLASMA PRORENIN
58023,AK,stars: late-type
62194,AK,Prodrug
78633,AK,extremities
113626,IK,CHRONIC MYELOGENOUS LEUKEMIA
284205,IK,SITE-SPECIFIC RECOMBINATION
78957,IK,H-II REGIONS
96424,AK,galaxies : kinematics and dynamics
185598,IK,CEREBRAL POTENTIALS
78943,IK,FORMING GALAXIES
21861,IK,GAMMA PRODUCTION
16504,IK,PRIMARY THERAPY
56194,AK,multi-scale modelling
222894,IK,ALGORITHMS
258262,IK,ESCHERICHIA-COLI
188773,IK,EVENTS
104295,IK,FRACTAL STRUCTURE
78953,IK,SPECTRAL ENERGY-DISTRIBUTIONS
262683,AK,Consolidation
80387,IK,CASSAVA MOSAIC-VIRUS
294637,IK,LYMPHANGIOGENESIS
282049,IK,CALCIUM SULFONATE
234934,IK,DENSITY-FUNCTIONAL THEORY
200987,IK,OXYGEN MOLECULES
166559,IK,HISTORY
207714,IK,MICROSCOPY
34715,AK,circumstellar matter
270781,IK,PARENCHYMA
78942,AK,ultraviolet : galaxies
181250,IK,CELL-LINE
284684,AK,string matching
234526,IK,HYPERON-NUCLEON
19646,IK,SYSTEM
253489,IK,DISEASE
280247,IK,FUSION-REACTORS
280470,IK,CELLS
40795,IK,DIAGNOSIS
223321,IK,SIMILARITY
78945,IK,STAR-FORMING GALAXIES
144928,AK,diophantine approximation
198470,IK,INTEGRIN FUNCTION
201031,AK,geminivirus
273010,IK,APOPTOSIS
6175,AK,Calorimeters
198470,AK,atomic force microscopy
20419,IK,ANTIPLATELET THERAPY
266189,IK,LIQUID-PHASE EPITAXY
66903,IK,ABSORPTION SPECTRA
75366,IK,THERAPY
283064,IK,MECHANICAL VENTILATION
283324,IK,PERSPECTIVE
19572,IK,ANTICANCER DRUGS
227913,IK,COVERAGE
160300,AK,aortic dissection
282264,IK,CONTROLLED-TRIAL
106068,IK,MECHANISM
69739,IK,CONSISTENT-FIELD CALCULATIONS
24209,IK,LHC
71715,IK,TEMPERATURE-PROGRAMMED DESORPTION
209255,AK,iridium
118956,IK,CELL CARCINOMA
200531,IK,CHLORIDE
121194,IK,CONTROL RULES
55776,IK,AFRICAN
139541,AK,aggregation rules
248118,IK,FIELD
258464,AK,Simulations
18092,AK,COPD
78950,AK,"dust, extinction"
175942,AK,passivation
238232,IK,PHASE-III
96661,IK,HIGH-AFFINITY-BINDING
83082,AK,Gd-complex
254253,AK,Survival
75680,IK,PHOSPHORYLATION
153501,AK,graph-based information fusion
6173,AK,Calorimeters
78942,IK,CAMPANAS IMAGING ATLAS
199902,IK,TUMOR THROMBUS
243755,IK,ANTIOXIDANT ACTIVITY
125938,AK,line-of-sight components
262683,IK,Y-90-IBRITUMOMAB TIUXETAN
310413,IK,SOLAR
42460,IK,SOFTWARE
78945,IK,LUMINOSITY FUNCTION
260182,IK,AMMONIA
115503,IK,NON-HODGKINS-LYMPHOMA
78954,IK,FORMATION HISTORIES
113626,IK,BLAST CRISIS
