id,first_author,journal,year
245,BOCKMANN M,PHYS REV LETT,2000
245,EDWARDS BF,PHYS REV LETT,2002
245,EINSTEIN A,ANN PHYS-BERLIN,1905
245,FIELD RJ,OSCILLATIONS TRAVELI,1985
245,FISHER R,EUGEN,1937
245,HALLEZ Y,J FLUID MECH,2009
245,HANNA A,J AM CHEM SOC,1982
245,HORVATH D,J CHEM PHYS,1998
245,HUPPERT HE,J FLUID MECH,1995
245,JARRIGE N,PHYS REV E 2,2010
245,KOLMOGOROV AN,B MGU A,1937
245,LECONTE M,J CHEM PHYS,2004
245,MARTIN J,PHYS REV E 1,2002
245,MARTIN J,PHYS REV E 2,2009
245,POJMAN JA,J PHYS CHEM-US,1991
245,RONGY L,J CHEM PHYS,2007
245,SCHUSZTER G,PHYS REV E 2,2009
245,SCOTT SK,OSCILLATIONS WAVES C,2004
245,SEON T,PHYS FLUIDS,2007
245,SHIN JO,J FLUID MECH,2004
245,TAGHAVI SM,J FLUID MECH,2009
245,TOTH A,J CHEM SOC FARADAY T,1997
245,VASQUEZ DA,PHYS REV E,1994
245,YOSHINAGA T,ANAL SCI,2004
504,BLANQUE S,P 23 EPVSEC VAL SPAI,2008
504,BRENDLE W,PROG PHOTOVOLTAICS,2006
504,BRUGGEMANN R,MATER RES SOC SYMP P,2005
504,DESRUES T,P 23 EPVSEC VAL SPAI,2008
504,GRANEK F,P 21 EUR PHOT SOL EN,2006
504,HOFMANN M,P 23 EPVSEC VAL SPAI,2008
504,LU M,APPL PHYS LETT,2007
504,SINTON RA,APPL PHYS LETT,1996
504,STANGL R,P 22 EPVSEC MIL IT,2007
504,SWANSON RM,IEEE PHOT SPEC CONF,2005
504,TANAKA M,JPN J APPL PHYS 1,1992
504,TSUNOMURA Y,P 22 EPVSEC MIL IT,2007
504,TUCCI M,P 23 EPVSEC VAL SPAI,2008
561,ALENCAR SHP,ASTRON ASTROPHYS,2005
561,BAINES D,MON NOT R ASTRON SOC,2006
561,BENISTY M,NULL,2008
561,BOUVIER J,ASTRON ASTROPHYS,2003
561,BOUVIER J,IAU S,2007
561,CALVET N,ASTROPHYS J,1992
561,CATALA C,ASTRON ASTROPHYS,1987
561,DECAMPLI WM,ASTROPHYS J,1981
561,DEVANEY MN,ASTRON ASTROPHYS,1995
561,EISNER JA,ASTROPHYS J,2009
561,FERNANDEZ M,A AS,1995
561,FOLHA DFM,ASTRON ASTROPHYS,2001
561,GARCIA PJV,ASTROPHYS SPACE SCI,1998
561,GETMAN KV,ASTROPHYS J,2008
561,GRININ VP,ASTRON ASTROPHYS,1995
561,HARRINGTON DM,ASTROPHYS J SUPPL S,2009
561,HARTMANN L,ASTROPHYS J,1994
561,HARTMANN L,ASTROPHYS J 1,1990
561,HARTMANN L,STAR JET DISK SYSTEM,2009
561,HERBIG GH,APJS,1960
561,JOHNS CM,AJ,1995
561,JOHNSKRULL CM,ASTROPHYS J 1,1997
561,JOY AH,APJ,1945
561,KHOLTYGIN AF,ASTRON ASTROPHYS,1997
561,KRAUS S,ASTRON ASTROPHYS,2008
561,KUROSAWA R,MON NOT R ASTRON SOC,2005
561,KUROSAWA R,MON NOT R ASTRON SOC,2006
561,KUROSAWA R,MON NOT R ASTRON SOC,2008
561,MALBET F,ASTRON ASTROPHYS,2007
561,MATT S,ASTROPHYS J,2008
561,MATT S,ASTROPHYS J 2,2005
561,MITSKEVICH AS,ASTROPHYS J,1993
561,MUENCH AA,ASTROPHYS J 1,2002
561,MUZEROLLE J,ASTROPHYS J 1,2001
561,MUZEROLLE J,ASTROPHYS J 1,2004
561,PODIO L,ASTRON ASTROPHYS,2008
561,PONTEFRACT M,MON NOT R ASTRON SOC,2000
561,RAJABI S,THESIS U PORTO,2010
561,REIPURTH B,ASTRON ASTROPHYS SUP,1996
561,ROUSSELETPERRAU.K,A A,2010
561,STRAFELLA F,ASTROPHYS J 1,1998
561,TATULLI E,ASTRON ASTROPHYS,2007
561,THIEBAUT E,ASTROPHYS SPACE SCI,2003
561,VIEIRA SLA,ASTRON J,2003
561,VINK JS,MON NOT R ASTRON SOC,2005
561,WADE GA,MON NOT R ASTRON SOC,2007
561,WHELAN E,LECT NOTES PHYS,2008
561,WHELAN ET,ASTRON ASTROPHYS,2004
561,WHELAN ET,ASTROPHYS J LETT,2009
1469,BENNHOLD C,PHYS LETT B,1987
1469,BENNHOLD C,PHYS REV C,1989
1469,GUICHON PAM,NUCL PHYS A,2008
1469,GUICHON PAM,PHYS LETT B,1988
1469,HASHIMOTO O,PROG PART NUCL PHYS,2006
1469,LEE FX,NUCL PHYS A,2001
1469,PILE PH,PHYS REV LETT,1991
1469,RIKOVSKASTONE J,NUCL PHYS A,2007
1469,ROSENTHAL AS,ANN PHYS-NEW YORK,1988
1469,SAHA PK,PHYS REV C,2004
1469,SAITO K,PROG PART NUCL PHYS,2007
1469,SHYAM R,NUCL PHYS A,2006
1469,SHYAM R,PHYS LETT B,2009
1469,SHYAM R,PHYS REV C,2004
1469,SHYAM R,PHYS REV C,2008
1469,SHYAM R,PROG PART NUCL PHYS,2008
1469,TSUSHIMA K,NUCL PHYS A,1998
1469,TSUSHIMA K,PHYS LETT B,1997
1469,TSUSHIMA K,PHYS LETT B,1998
1486,ALDUCLEBAGOUSSE A,MAT ANTHR PROVENANT,1986
1486,BAKELS CC,VEG HIST ARCHAEOBOT,2005
1486,BARTHELEMY I,REV STOMATOL CHIR MA,1999
1486,BELCASTRO G,AM J PHYS ANTHROPOL,2007
1486,BENNIKE P,AM J PHYS ANTHROPOL,2005
1486,BERTI PR,AM J HUM BIOL,1995
1486,BLAKEY ML,AM J PHYS ANTHROPOL,1985
1486,BODORIKOVA S,ZB SLOV NAR MUZ PRIR,2005
1486,BRUZEK J,ANTHROPOLOGIE BRNO,1994
1486,CARDOSO HFV,THESIS MCMASTER U HA,2005
1486,CLARKSON J,ADV DENT RES,1989
1486,COLLI CM,HOMO,2009
1486,COOK DC,AM J PHYS ANTHROPOL,1979
1486,COULON A,B MEM SOC ANTHRO PAR,2008
1486,CUCINA A,INT J OSTEOARCHAEOL,2006
1486,DANFORTH ME,INT J OSTEOARCHAEOL,1993
1486,DANFORTH ME,J PALEOPATHOLOGY MON,1992
1486,DAVIS JR,LONG MORNING MEDIEVA,2008
1486,DELAHAYE F,CHERBOURG RUE MARECH,1995
1486,DURAY SM,AM J PHYS ANTHROPOL,1990
1486,ERDAL YS,AM J PHYS ANTHROPOL,1999
1486,ESCLASSAN R,ARCH ORAL BIOL,2009
1486,ESPELAND MA,STAT MED,1988
1486,FAYE O,REN VIEUX METZ,2007
1486,FITZGERALD CM,AM J PHYS ANTHROPOL,2005
1486,GOODMAN AH,ADV DENT ANTHR,1991
1486,GOODMAN AH,AM J PHYS ANTHROPOL,1985
1486,GOODMAN AH,AM J PHYS ANTHROPOL,1988
1486,GUATELLISTEINBE.D,J PHYS,2003
1486,GUATELLISTEINBERG D,YEARB PHYS ANTHROPOL,1999
1486,GUY H,INT J OSTEOARCHAEOL,1997
1486,HANAKOVA H,ACTA MUSEI NATL PR B,1987
1486,HANAKOVA H,VELKOMORAVKE POHREBI,1986
1486,HEROLD M,THESIS U WIEN VIENNA,2008
1486,HILLSON S,AM J PHYS ANTHROPOL,1997
1486,HILLSON S,INT J OSTEOARCHAEOL,1992
1486,HILLSON S,INT J OSTEOARCHAEOL,2001
1486,HOBDELL MH,BRIT DENT J,2003
1486,HUMPHREY LT,ANTHROPOLOGIE,2000
1486,JAMES PMC,BRIT DENT J,1970
1486,JAROSOVA I,SLUZBACH ARCHEOLOGIE,2005
1486,KLANICA Z,NECHVALIN PRUSANKY V,2006
1486,LARSEN CS,ADV DENT ANTHR,1991
1486,LARSEN CS,BIOARCHEOLOGY INTERP,1997
1486,LARSEN CS,J ARCHAEOL SCI,1983
1486,LEWIS M,HUMAN OSTEOLOGY ARCH,2000
1486,LEWIS ME,BIOARCHAEOLOGY CHILD,2007
1486,LIVERSIDGE HM,AM J PHYS ANTHROPOL,2004
1486,LIVERSIDGE HM,DENT ANTHR FUNDAMENT,1998
1486,LUKACS JR,CURR ANTHROPOL,1990
1486,LUKACS JR,INT J OSTEOARCHAEOL,1995
1486,LUKACS JR,J ARCHAEOL SCI,2001
1486,MOORE WJ,CARIES RES,1971
1486,MOORE WJ,CARIES RES,1973
1486,MOORE WJ,CARIES RES,1975
1486,MOORREES C,J DENT RES,1963
1486,MOORREES CFA,AM J PHYS ANTROP,1963
1486,OBERTOVA Z,HOMO,2005
1486,OGDEN AR,AM J PHYS ANTHROPOL,2007
1486,OSULLIVAN EA,PEDIAT DENT,1992
