id,d,first_name,fn_initial,mn_initial,last_name
133315,3,R,R,"",Meyer
148144,3,R,R,"",Meyer
252967,3,A,A,"",Lefebvre
1486,4,A,A,"",Lefebvre
53291,7,A,A,"",Lefebvre
53302,6,A,A,"",Lefebvre
189929,2,A,A,"",Lefebvre
288164,2,A,A,"",Lefebvre
302254,0,A,A,"",Lefebvre
86334,10,A,A,"",Lefebvre
27114,5,A,A,"",Lefebvre
194779,9,A,A,"",Lefebvre
251284,7,A,A,"",Lefebvre
311742,0,A,A,"",Lefebvre
316486,2,A,A,"",Lefebvre
134412,0,A,A,"",Lefebvre
284684,2,A,A,"",Lefebvre
10316,3,A,A,"",Lefebvre
184533,2,A,A,"",Lefebvre
194936,0,A,A,"",Lefebvre
283064,0,A,A,"",Lefebvre
222840,0,A,A,"",Lefebvre
121893,4,A,A,"",Lefebvre
207714,2,A,A,"",Lefebvre
176733,5,A,A,"",Lefebvre
77639,0,A,A,"",Lefebvre
209077,5,A,A,"",Lefebvre
1697,10,A,A,"",Lefebvre
86931,12,A,A,"",Lefebvre
168716,13,A,A,"",Lefebvre
22956,2,A,A,"",Lefebvre
221719,4,F,F,"",Rodriguez
134213,2,F,F,"",Rodriguez
184756,7,F,F,"",Rodriguez
305434,0,F,F,"",Rodriguez
217428,2,F,F,"",Rodriguez
217430,3,F,F,"",Rodriguez
48329,4,F,F,"",Rodriguez
66903,3,F,F,"",Rodriguez
98262,1,F,F,"",Rodriguez
143630,0,F,F,"",Rodriguez
159363,1,F,F,"",Rodriguez
219973,1,F,F,"",Rodriguez
303477,2,F,F,"",Rodriguez
200531,3,F,F,"",Rodriguez
50512,4,F,F,"",Rodriguez
83835,1,F,F,"",Rodriguez
135839,1,F,F,"",Rodriguez
124290,2,F,F,"",Rodriguez
187516,2,F,F,"",Rodriguez
82351,5,F,F,"",Rodriguez
170377,0,F,F,"",Rodriguez
222731,2,F,F,"",Rodriguez
76585,3,F,F,"",Rodriguez
197926,0,F,F,"",Rodriguez
245462,3,F,F,"",Rodriguez
315227,1,F,F,"",Rodriguez
316184,4,F,F,"",Rodriguez
30426,8,F,F,"",Rodriguez
314247,2,W,W,"",Liu
150342,0,W,W,"",Liu
65834,1,W,W,"",Liu
74472,0,W,W,"",Liu
106068,0,W,W,"",Liu
147773,0,W,W,"",Liu
26129,2,W,W,"",Liu
6362,0,W,W,"",Liu
38593,1,W,W,"",Liu
87830,2,W,W,"",Liu
102266,4,W,W,"",Liu
271334,1,W,W,"",Liu
240076,0,W,W,"",Liu
281805,4,W,W,"",Liu
88215,23,R,R,"",Meyer
170485,6,R,R,"",Meyer
187240,26,R,R,"",Meyer
244383,5,R,R,"",Meyer
