id,subject
1710,Optics
211474,Endocrinology & Metabolism
2639,Optics
204417,Virology
288165,Polymer Science
278155,"Chemistry, Physical"
198470,Biochemistry & Molecular Biology
240076,Statistics & Probability
239137,"Geosciences, Multidisciplinary"
280029,Oncology
155836,"Physics, Multidisciplinary"
275592,Immunology
56994,Immunology
106068,"Chemistry, Analytical"
279320,Mechanics
294412,Oncology
169270,Peripheral Vascular Disease
249943,"Physics, Nuclear"
290882,Immunology
187183,Polymer Science
177291,Anesthesiology
284205,Biochemistry & Molecular Biology
121985,"Physics, Fluids & Plasmas"
86334,Plant Sciences
233587,Telecommunications
303959,Telecommunications
6174,Instruments & Instrumentation
275660,Toxicology
49651,"Physics, Applied"
80387,Biotechnology & Applied Microbiology
244418,Zoology
206175,Crystallography
124029,"Physics, Applied"
227752,"Computer Science, Hardware & Architecture"
124284,Cardiac & Cardiovascular Systems
33776,Clinical Neurology
210752,Cardiac & Cardiovascular Systems
290848,Transplantation
259079,"Physics, Multidisciplinary"
34582,Biophysics
115989,Food Science & Technology
17615,Hematology
179543,"Physics, Mathematical"
238176,Urology & Nephrology
156235,"Computer Science, Hardware & Architecture"
309170,Thermodynamics
169055,Surgery
50844,"Physics, Condensed Matter"
240517,Hematology
228284,"Computer Science, Theory & Methods"
240630,Hematology
228882,"Engineering, Electrical & Electronic"
71715,"Physics, Atomic, Molecular & Chemical"
146777,"Computer Science, Interdisciplinary Applications"
203179,Spectroscopy
184756,Biochemistry & Molecular Biology
29484,Biochemical Research Methods
279401,Microbiology
242109,Astronomy & Astrophysics
239137,"Geography, Physical"
104906,Cardiac & Cardiovascular Systems
27303,"Physics, Condensed Matter"
19651,Astronomy & Astrophysics
53302,Evolutionary Biology
81321,Ecology
58024,Astronomy & Astrophysics
217248,"Computer Science, Information Systems"
76344,"Engineering, Chemical"
121893,Metallurgy & Metallurgical Engineering
227369,Telecommunications
233566,"Engineering, Electrical & Electronic"
19895,"Computer Science, Theory & Methods"
196149,Oncology
71520,Respiratory System
154481,Multidisciplinary Sciences
86931,"Physics, Multidisciplinary"
248539,Infectious Diseases
153501,"Computer Science, Theory & Methods"
84576,Biochemistry & Molecular Biology
214650,Optics
159417,Hematology
178096,Neurosciences
153383,"Engineering, Multidisciplinary"
83612,Polymer Science
218148,Immunology
104292,Astronomy & Astrophysics
301999,"Engineering, Biomedical"
244093,Cell Biology
218404,Health Care Sciences & Services
288632,Transportation Science & Technology
312278,Transportation Science & Technology
119069,"Physics, Multidisciplinary"
233382,"Engineering, Electrical & Electronic"
296250,"Computer Science, Hardware & Architecture"
92737,"Chemistry, Physical"
135188,"Materials Science, Multidisciplinary"
113469,Astronomy & Astrophysics
5528,"Physics, Particles & Fields"
110003,Urology & Nephrology
19895,"Engineering, Electrical & Electronic"
220304,"Computer Science, Information Systems"
233541,"Computer Science, Information Systems"
53882,Astronomy & Astrophysics
93970,Genetics & Heredity
1697,"Physics, Applied"
82637,"Medicine, General & Internal"
172333,"Engineering, Electrical & Electronic"
313134,"Computer Science, Hardware & Architecture"
194779,Gastroenterology & Hepatology
38000,"Physics, Mathematical"
